,START_X,END_X,START_Y,END_Y
279,5433261.8803,5433261.6545,4194009.5392,4194008.496
280,5433134.0855,5433134.3856,4178766.0788,4178765.5071
281,5433587.2068,5433583.3195,4178910.6496,4178908.6777
282,5431686.9405,5431687.2373,4177735.6181,4177734.7464
283,5379231.8125,5379232.1358,4231707.4514,4231706.6503
284,5364037.9543,5364037.8032,4247286.5097,4247280.1926
285,5428842.8097,5428844.0264,4175411.6896,4175411.6641
286,5425520.1122,5425520.8071,4177748.4776,4177747.7846
287,5422458.0386,5422451.3869,4191030.6489,4191026.7836
288,5405728.8283,5405728.6863,4196101.0201,4196101.4546
289,5396946.6992,5396946.545,4195351.6068,4195351.5536
290,5425526.9272,5425527.4204,4172673.9169,4172673.3374
291,5436383.7325,5436384.1957,4203211.5993,4203210.8838
292,5376503.4692,5376504.3663,4206005.2737,4206004.8523
293,5398916.0242,5398916.8063,4206416.9508,4206417.2902
294,5439928.982,5439928.525,4183058.6121,4183057.98
295,5440156.1819,5440155.7975,4183054.7443,4183054.2553
296,5436016.7343,5436017.3533,4190136.6146,4190136.8985
297,5372293.771,5372294.2904,4187719.4773,4187718.9654
298,5428827.7533,5428828.6974,4184903.2493,4184902.9897
299,5427592.8897,5427592.8324,4199984.6896,4199984.4025
300,5379903.6421,5379903.6393,4232941.6096,4232941.3015
301,5411162.7496,5411162.5718,4192891.413,4192890.8285
302,5426087.2907,5426087.9594,4190322.0674,4190322.6695
303,5416972.875,5416973.0025,4202910.9984,4202910.4748
304,5414130.73,5414130.7765,4194867.2047,4194866.41
305,5414176.9224,5414176.8747,4194996.5157,4194996.1843
306,5414187.2193,5414187.169,4195074.3887,4195074.0391
307,5421122.4324,5421121.8224,4175004.5518,4175003.5689
308,5420887.4542,5420887.623,4172218.1806,4172217.2668
309,5417440.7493,5417441.0765,4170125.9837,4170126.6082
310,5424730.3445,5424729.5134,4176923.6285,4176923.7957
311,5425093.1004,5425092.8097,4175408.6786,4175409.2811
312,5425135.2594,5425134.7319,4175433.9739,4175434.6896
313,5425743.4416,5425743.0213,4175803.6945,4175804.3668
314,5424871.5243,5424871.7017,4178182.8919,4178181.8509
315,5424225.8849,5424225.8691,4172094.0971,4172094.5726
316,5425108.3609,5425107.9329,4172434.0401,4172433.3635
317,5426504.5252,5426504.8382,4175585.3134,4175584.8157
318,5427274.115,5427274.5167,4177885.537,4177885.8442
319,5428707.0958,5428707.6659,4180484.3433,4180484.4668
320,5430101.804,5430102.2565,4177917.2621,4177916.549
321,5421399.5571,5421400.0224,4186691.5141,4186692.0124
322,5426257.9657,5426257.7102,4180438.694,4180439.3832
323,5431495.9461,5431495.2896,4182459.8015,4182459.193
324,5431150.0335,5431150.74,4183197.7628,4183198.2594
325,5431086.7835,5431087.5568,4183283.9372,4183284.3128
326,5433280.3743,5433279.5669,4185485.5058,4185484.9365
327,5366091.4524,5366091.5382,4194160.9849,4194161.8973
328,5380415.3572,5380415.9235,4213966.5299,4213966.7625
329,5387300.0632,5387300.4371,4213536.8133,4213537.549
330,5356622.5802,5356622.9298,4251041.0574,4251040.39
331,5423581.7773,5423591.8513,4191558.4712,4191553.6466
332,5364898.8485,5364899.2648,4255129.7734,4255130.8179
333,5392212.0816,5392212.905,4247331.9084,4247331.7156
334,5390495.0591,5390494.1414,4186561.3271,4186561.0356
335,5428335.1894,5428335.3811,4175139.4675,4175138.5313
336,5438152.0329,5438152.7127,4185276.8259,4185276.6116
337,5380134.7655,5380134.7766,4233629.8227,4233630.6884
338,5353751.0546,5353750.3779,4235120.4675,4235121.027
339,5390057.8871,5390055.4719,4182583.3998,4182586.809
340,5375773.9595,5375769.0211,4206488.2714,4206483.1717
341,5429891.979,5429891.6958,4193769.6856,4193770.4467
342,5361767.7941,5361771.7489,4214408.4587,4214410.0674
343,5386226.0792,5386233.4002,4193879.5775,4193879.213
344,5431560.7046,5431561.0456,4178903.7654,4178903.0838
345,5390619.0659,5390614.0826,4185257.3741,4185259.0434
346,5432137.5318,5432136.4276,4178723.8008,4178725.5558
347,5410044.8606,5410048.4829,4214320.9138,4214317.1363
348,5413677.6083,5413672.4377,4206446.3231,4206448.0038
349,5362019.9185,5362020.2861,4213649.7213,4213650.6789
350,5379675.9213,5379676.2238,4240333.1268,4240330.7551
351,5419025.4873,5419025.8703,4193473.6834,4193474.7929
352,5391796.2031,5391795.4698,4211190.4577,4211190.5859
353,5377087.4731,5377090.6015,4205256.4357,4205259.3003
354,5385773.2389,5385778.2768,4242220.4387,4242218.9376
355,5381273.1551,5381273.4919,4211434.2648,4211434.3341
356,5393269.7219,5393265.8109,4230674.6181,4230676.2585
357,5349411.0225,5349411.4585,4228236.0744,4228235.2536
358,5405017.1294,5405018.2585,4215797.1623,4215793.3772
359,5433174.1605,5433172.851,4178111.6157,4178114.1786
360,5432036.1352,5432036.9032,4177626.8539,4177626.654
361,5412646.1568,5412650.4963,4194723.8722,4194721.5342
362,5401036.189,5401036.6271,4195184.502,4195184.205
363,5348124.0771,5348124.623,4230482.4202,4230481.4057
364,5421707.0456,5421708.2016,4191862.0072,4191863.5277
365,5432084.4585,5432085.1667,4177539.6112,4177539.3178
366,5433088.7448,5433088.8716,4178739.4335,4178735.1375
367,5423689.8964,5423688.0391,4173570.0341,4173566.3464
368,5378774.4627,5378775.5679,4204712.5091,4204712.4534
369,5438643.88,5438643.866,4187184.0983,4187183.1332
370,5434593.8502,5434594.5145,4184036.7068,4184036.3657
371,5435211.5248,5435212.4882,4189900.0541,4189900.3321
372,5435642.9781,5435643.8338,4188265.3915,4188264.4967
373,5426534.6972,5426535.3522,4175515.8242,4175516.0949
374,5424164.2877,5424163.7866,4192713.3746,4192712.6701
375,5420825.375,5420825.0444,4176135.725,4176134.7418
376,5432305.2902,5432304.5008,4178166.7308,4178166.0007
377,5432239.8432,5432239.55,4178129.2901,4178128.5611
378,5431665.8202,5431666.4619,4177862.7186,4177861.7256
379,5427712.4046,5427712.9401,4188705.1933,4188706.1329
380,5399680.1152,5399679.1071,4201894.4768,4201893.8419
381,5428497.0805,5428497.1491,4181574.0787,4181574.4751
382,5421909.2183,5421909.9849,4188540.4544,4188540.1202
383,5373514.4016,5373513.8958,4187887.892,4187887.2576
384,5440129.9024,5440129.9829,4183523.8985,4183523.3979
385,5380243.6562,5380242.6867,4232881.4402,4232881.8065
386,5371251.1428,5371251.1523,4188628.6176,4188628.2741
387,5425906.9789,5425907.4101,4191009.6555,4191008.9329
388,5420606.1353,5420605.831,4173463.4639,4173464.1335
389,5418831.7064,5418832.4794,4172816.3906,4172816.4241
390,5419859.1597,5419858.0325,4171188.9932,4171188.3902
391,5420027.5456,5420027.0608,4170925.6748,4170926.1803
392,5417163.8283,5417164.0373,4170227.3365,4170228.2097
393,5417308.506,5417308.0693,4171087.591,4171087.7723
394,5417425.6355,5417426.3167,4171559.8643,4171559.6853
395,5424239.5855,5424239.3631,4172028.2072,4172028.9423
396,5425825.8726,5425825.2054,4175037.64,4175038.3802
397,5427754.4798,5427755.0422,4176085.8061,4176086.1864
398,5427339.6193,5427338.8267,4177959.3927,4177960.0545
399,5428885.2412,5428885.0084,4179562.0651,4179562.8054
400,5429606.7812,5429607.403,4180891.0713,4180891.0978
401,5419890.9962,5419891.0676,4186916.0105,4186916.6393
402,5432263.5934,5432263.1742,4182106.292,4182105.4966
403,5431689.2986,5431689.0441,4182334.0326,4182333.0921
404,5431396.4809,5431397.3496,4182869.9134,4182870.2949
405,5432984.1097,5432984.5821,4185232.2209,4185232.6874
406,5378449.523,5378449.7109,4204740.4487,4204741.0514
407,5377690.2046,5377689.5438,4204676.3852,4204675.83
408,5366091.4524,5366092.0251,4194160.9849,4194161.1959
409,5364931.2306,5364930.6824,4197061.357,4197061.0688
410,5364705.5038,5364706.0818,4197565.9823,4197566.2272
411,5365335.1885,5365335.7331,4199180.0131,4199180.0219
412,5389178.9006,5389179.4296,4211194.5985,4211195.1991
413,5387410.4227,5387410.3372,4192992.982,4192992.2501
414,5381645.3154,5381645.2855,4203529.9886,4203530.6844
415,5429268.4064,5429267.7247,4176894.1913,4176893.7877
416,5377655.824,5377655.6934,4205630.7626,4205631.4445
417,5390983.4434,5390984.0933,4189565.8218,4189565.0628
418,5427630.6393,5427630.8526,4198753.3458,4198752.2791
419,5385536.0595,5385536.5146,4189664.2269,4189663.9642
420,5364329.6051,5364330.4347,4247637.6949,4247637.1589
421,5427496.4576,5427495.7258,4189914.2256,4189914.9177
422,5336189.8637,5336194.9151,4235390.1412,4235391.3127
423,5370130.6774,5370131.1898,4218112.8582,4218109.2928
424,5400231.5251,5400227.0683,4224244.1246,4224244.7435
425,5428835.7849,5428835.7927,4177561.9878,4177561.8764
426,5379238.2687,5379237.3943,4241021.8235,4241021.3427
427,5387898.5727,5387902.1752,4193310.2926,4193318.0242
428,5422172.1699,5422171.1881,4175255.9008,4175256.5573
429,5394615.2201,5394613.1467,4210671.0337,4210674.9576
430,5425078.0732,5425077.3792,4175451.9222,4175452.468
431,5362329.4618,5362325.3083,4214750.5607,4214752.0416
432,5431136.5728,5431133.2346,4177976.754,4177980.8772
433,5426190.0175,5426197.2063,4190266.6767,4190268.3077
434,5421548.3205,5421553.4061,4198681.1683,4198682.6486
435,5421839.0089,5421842.8643,4195849.7933,4195848.6242
436,5420675.1668,5420672.9833,4203477.3706,4203479.4963
437,5435832.3681,5435831.7949,4187151.078,4187151.3225
438,5383099.111,5383095.9326,4223208.1667,4223209.8456
439,5367502.1228,5367502.542,4201285.8422,4201289.1266
440,5427628.5556,5427630.2314,4187536.8836,4187538.8478
441,5403442.5881,5403442.9392,4195559.2914,4195557.2083
442,5403449.2913,5403452.0161,4195518.3481,4195520.8295
443,5390992.3848,5390995.0185,4189144.4916,4189140.837
444,5422860.7518,5422857.7569,4191318.5003,4191322.6318
445,5416826.3902,5416827.8615,4195386.4053,4195389.1965
446,5378859.546,5378860.313,4204716.0218,4204718.8728
447,5423851.9654,5423853.2674,4192030.4265,4192029.3865
448,5413007.2066,5413008.773,4210501.3038,4210499.4226
449,5349056.5011,5349057.6308,4228070.9432,4228071.2107
450,5433203.7866,5433205.2571,4178805.4199,4178806.1997
451,5428366.097,5428366.1869,4198929.721,4198930.7503
452,5364182.3537,5364182.3851,4190161.045,4190159.9632
453,5420118.5772,5420119.724,4170977.5333,4170978.3678
454,5390719.2996,5390720.1722,4235234.9259,4235232.5859
455,5425092.8429,5425093.1717,4193002.6677,4193002.1192
456,5420119.1926,5420119.1986,4170973.2863,4170973.0795
457,5437949.035,5437949.6448,4187270.9239,4187271.8141
458,5426911.3113,5426911.6982,4175031.6488,4175030.9558
459,5419857.2249,5419856.2626,4176134.0392,4176133.7191
460,5433650.2413,5433649.7659,4193197.5893,4193196.7351
461,5431811.9852,5431812.9096,4183030.1179,4183030.1369
462,5432332.6735,5432331.8665,4178182.4709,4178182.145
463,5423832.4704,5423832.2782,4192062.0598,4192061.3538
464,5434191.1166,5434191.7394,4178549.1517,4178548.2792
465,5431805.2393,5431805.5836,4178128.5727,4178127.4543
466,5379454.6046,5379454.0543,4230110.8522,4230110.1729
467,5395771.0418,5395770.8323,4228422.587,4228422.0093
468,5379778.9848,5379779.411,4192465.5821,4192464.5855
469,5430742.9893,5430743.8202,4189202.9198,4189202.7523
