,START_X,END_X,START_Y,END_Y
405,5423316.8183,5423354.1537,4192308.0827,4192286.8485
406,5423520.7191,5423577.3177,4192196.8443,4192160.2826
407,5384196.1585,5384241.8417,4223189.9824,4223249.7709
408,5384378.8939,5384424.5791,4223429.137,4223488.9262
409,5384424.5791,5384470.2646,4223488.9262,4223548.7153
410,5390529.5134,5390520.1379,4185501.2793,4185425.4965
411,5390729.1174,5390754.419,4184645.0479,4184575.1736
412,5358912.1592,5358952.5562,4209835.7599,4209785.0286
413,5359207.2156,5359250.6811,4209449.3894,4209390.8455
414,5359476.416,5359524.0859,4209096.7782,4209037.5601
415,5359571.7552,5359619.4241,4208978.3422,4208919.1244
416,5359810.0943,5359857.7607,4208682.2537,4208623.0361
417,5359955.7708,5360006.1146,4208501.7349,4208439.651
418,5360006.1146,5360056.458,4208439.651,4208377.5672
419,5360056.458,5360106.8007,4208377.5672,4208315.4836
420,5431530.7442,5431495.7303,4190173.4096,4190236.4839
421,5430898.6324,5430938.7597,4188302.7148,4188256.9564
422,5370344.0298,5370372.5954,4213537.2797,4213466.3652
423,5370450.6394,5370419.0921,4214040.3436,4213985.3207
424,5368298.1349,5368352.533,4216222.5757,4216273.9526
425,5385004.9346,5385044.6979,4224356.2719,4224419.092
426,5386254.4479,5386312.2129,4225495.3682,4225541.6181
427,5390708.2276,5390733.0367,4183411.4479,4183486.4034
428,5390782.656,5390807.4661,4183636.3158,4183711.2726
429,5399445.6091,5399473.964,4193448.6611,4193515.4307
430,5390606.3008,5390589.5655,4193427.9809,4193389.4694
431,5390826.8086,5390889.722,4188956.4506,4188981.4143
432,5360856.3385,5360875.53,4209048.4807,4209126.67
433,5360960.0091,5361025.2971,4209255.3234,4209305.7867
434,5361155.8749,5361221.1647,4209406.713,4209457.1759
435,5368842.1404,5368896.5437,4216736.3441,4216787.7209
436,5369114.4713,5369169.0318,4216992.7634,4217043.9078
437,5387658.143,5387590.5052,4213264.5101,4213327.3202
438,5386946.8058,5387004.4343,4226054.8398,4226101.835
439,5391445.2254,5391431.7365,4180602.3691,4180528.4095
440,5391474.7281,5391500.9481,4180300.1092,4180230.2476
441,5391564.7736,5391583.5761,4180013.9718,4179940.7651
442,5362613.785,5362661.3376,4210539.6233,4210602.562
443,5363374.6917,5363422.2529,4211546.6656,4211609.6072
444,5363568.8044,5363617.656,4211803.4368,4211868.0471
445,5363910.7775,5363959.6331,4212255.7124,4212320.3239
446,5364336.7952,5364387.728,4212817.5889,4212884.6587
447,5386740.2637,5386646.0094,4213483.3204,4213467.4631
448,5386457.5016,5386400.6507,4213435.7459,4213385.0205
449,5393196.3112,5393139.065,4231611.9753,4231563.8587
450,5392953.641,5392913.6823,4232238.7573,4232304.2744
451,5391663.8478,5391638.5411,4178772.4254,4178699.8077
452,5387355.6499,5387344.7506,4192665.0926,4192595.5382
453,5387279.3574,5387268.4589,4192178.2204,4192108.669
454,5364693.3376,5364744.2746,4213287.082,4213354.1533
455,5365151.8992,5365202.8594,4213895.6554,4213963.5493
456,5367450.6162,5367424.36,4216273.7139,4216344.9669
457,5370302.0553,5370369.1295,4214185.8378,4214152.4941
458,5402864.3373,5402796.2932,4192089.6346,4192044.2516
459,5402931.265,5402914.0993,4192579.6704,4192507.394
460,5402524.1227,5402519.6038,4191862.7175,4191790.0446
461,5402492.4918,5402487.9733,4191354.0166,4191281.3469
462,5402483.4548,5402478.9363,4191208.6777,4191136.0091
463,5397125.8301,5397063.064,4186042.7155,4185987.7255
464,5409581.5176,5409539.1242,4209809.0676,4209751.7563
465,5409014.37,5408960.0324,4210143.9515,4210196.3386
466,5408742.6766,5408688.3364,4210405.8862,4210458.273
467,5409054.2549,5409104.083,4210835.3603,4210889.1702
468,5424646.0347,5424601.5944,4191791.5838,4191869.5107
469,5422626.8989,5422626.9743,4191049.2807,4191045.9935
